"data_type","updated_datetime","file_name","submitter_id","file_id","file_size","id","created_datetime","md5sum","data_format","access","state","data_category","type","experimental_strategy","project.project_id","entity_id","case_id","entity_submitter_id","entity_type"
"Gene Expression Quantification","2018-11-30T04:41:54.945003+00:00","aeb9f3e0-28f9-4126-b276-0f787d19ef36.htseq.counts","test_version118_GeneExpressionCounts","22280281-1e0d-459e-9690-0194836e7ebd",1274594,"22280281-1e0d-459e-9690-0194836e7ebd","2017-10-06T08:30:35.588194-05:00","7a92189956416ff80921c401cbe89f24","TXT","open","released","Transcriptome Profiling","gene_expression","RNA-Seq","TARGET-NBL","03f48068-41ca-5c45-928a-553c585d14e9","c0371fe4-ecc2-5a94-8928-e5b97986100a","TARGET-30-PATHVK-01A-01R","aliquot"
"Gene Expression Quantification","2018-11-30T04:41:54.945003+00:00","739f5018-d0d0-4f8c-9a70-f2e2aad9d466.htseq.counts","test_version139_GeneExpressionCounts","b97c966f-472e-4551-9fcd-19b76c1829d6",1262211,"b97c966f-472e-4551-9fcd-19b76c1829d6","2017-10-06T08:32:06.875552-05:00","0a56856dcc2ea926f234a5e858adf3c7","TXT","open","released","Transcriptome Profiling","gene_expression","RNA-Seq","TARGET-NBL","5906c381-dfae-5b79-ae14-c294ec2fde5b","3892d8ea-a808-59b4-8945-8e0a4288c8ba","TARGET-30-PASXIE-01A-01R","aliquot"
"Gene Expression Quantification","2018-11-30T04:41:54.945003+00:00","b1623fd7-b407-4a82-910d-c0e57518e608.htseq.counts","test_version43_GeneExpressionCounts","3b1b9bbd-c177-406a-b81c-d8baf1ba9257",1276366,"3b1b9bbd-c177-406a-b81c-d8baf1ba9257","2017-10-06T08:24:52.252607-05:00","d07cbb316231d0f03395866ba64e195b","TXT","open","released","Transcriptome Profiling","gene_expression","RNA-Seq","TARGET-NBL","c4d76cbd-7bdd-52ac-b9c6-fa6c94c9c92e","2d4ad426-65bc-59e7-8250-76bfc20290d7","TARGET-30-PAPTAN-01A-01R","aliquot"
"Gene Expression Quantification","2018-11-30T04:41:54.945003+00:00","250ed70c-1090-459e-b17e-c6420e1c39de.htseq.counts","test_version128_GeneExpressionCounts","29e99565-f4c0-4a55-acc7-4bf6cd0a5fd2",1275075,"29e99565-f4c0-4a55-acc7-4bf6cd0a5fd2","2017-10-06T08:31:18.033493-05:00","184b5b15dee70cdcc41c2df505fc0646","TXT","open","released","Transcriptome Profiling","gene_expression","RNA-Seq","TARGET-NBL","da61d824-bd70-5a6c-a693-e823e3a11c05","67260de6-397d-5a93-9576-071c6b280204","TARGET-30-PAPUNH-01A-01R","aliquot"
"Gene Expression Quantification","2018-11-30T04:41:54.825530+00:00","35ab5a54-d625-4301-a1e2-52f2881924d8.htseq.counts.gz","35ab5a54-d625-4301-a1e2-52f2881924d8_count","3b3ad8b8-5f37-4191-9d9b-43ef7fcc8b19",246489,"3b3ad8b8-5f37-4191-9d9b-43ef7fcc8b19","2016-06-01T23:24:29.180638-05:00","e7dc8bd3ebd68a56ebd5e0fdf00d9b5e","TXT","open","released","Transcriptome Profiling","gene_expression","RNA-Seq","TARGET-AML","e3fec677-26f8-5871-b7ea-9deb6acef97d","5123ea55-21f8-583a-bbf3-9623036c9302","TARGET-20-PANLKB-09A-03R","aliquot"
"Gene Expression Quantification","2018-11-30T04:41:54.825530+00:00","e3df7c0a-e03a-4bf2-b27d-6018befb11a1.htseq.counts.gz","e3df7c0a-e03a-4bf2-b27d-6018befb11a1_count","b007a9c2-24fa-4d97-8ed2-ddc7719bf08d",261016,"b007a9c2-24fa-4d97-8ed2-ddc7719bf08d","2016-06-01T23:21:59.555771-05:00","221c1e90742582acbb46d81e23d8f8b1","TXT","open","released","Transcriptome Profiling","gene_expression","RNA-Seq","TARGET-AML","1d7988aa-71e4-50a5-9d27-b313fa74ad8d","1945da72-fcc2-5e0d-8565-5a9cdfda6627","TARGET-20-PAPVDV-03A-01R","aliquot"
"Gene Expression Quantification","2018-11-30T04:41:54.825530+00:00","914cada1-f6bc-440c-a3a5-cccf58dd092a.htseq.counts.gz","914cada1-f6bc-440c-a3a5-cccf58dd092a_count","28b41a23-ee00-49f2-b34d-0b2aa1af7dbf",270306,"28b41a23-ee00-49f2-b34d-0b2aa1af7dbf","2016-06-01T23:27:04.571842-05:00","548f6145210f4d577b1605f49b1c01b4","TXT","open","released","Transcriptome Profiling","gene_expression","RNA-Seq","TARGET-AML","bac9cac1-7b94-5070-9902-dc747be52d94","a2dd8223-9dcd-553b-a73f-cabb97c69037","TARGET-20-PASJTM-09A-01R","aliquot"
"Gene Expression Quantification","2018-11-30T04:41:54.825530+00:00","a5b94775-a468-4602-b118-6fb01a028df3.htseq.counts.gz","a5b94775-a468-4602-b118-6fb01a028df3_count","78245aa8-bda8-4fe2-bae3-4f0e96e27968",261069,"78245aa8-bda8-4fe2-bae3-4f0e96e27968","2016-06-01T23:25:31.746536-05:00","0373df7f62a60243bd6f7afd2441fd8e","TXT","open","released","Transcriptome Profiling","gene_expression","RNA-Seq","TARGET-AML","624c251b-c0ac-565a-a0b9-e2f61c062020","747a5c35-ead9-5c4a-92ca-83da6c9c7d91","TARGET-20-PASINN-04A-02R","aliquot"
"Gene Expression Quantification","2018-11-30T04:41:54.381022+00:00","8b14a563-bd4f-4f76-95f2-608c4ba95120.htseq.counts.gz","8b14a563-bd4f-4f76-95f2-608c4ba95120_count","f36d5cf1-6cd5-4646-982d-281daaf284f0",258816,"f36d5cf1-6cd5-4646-982d-281daaf284f0","2016-06-01T23:29:38.658710-05:00","91c00be33332068c017d7ffdffb81049","TXT","open","released","Transcriptome Profiling","gene_expression","RNA-Seq","TARGET-WT","caa1bb0b-8bb5-5d75-96e0-7a6661fabbc8","d16f1595-bd97-596e-ba73-576535a3509f","TARGET-50-PALKRS-01A-01R","aliquot"
"Gene Expression Quantification","2018-11-30T04:41:54.381022+00:00","5a9177ab-1d15-4f71-8abe-8e8acdc2c08e.htseq.counts.gz","5a9177ab-1d15-4f71-8abe-8e8acdc2c08e_count","98a9e729-a948-4fef-a76f-357b435268e2",259672,"98a9e729-a948-4fef-a76f-357b435268e2","2016-06-01T23:31:08.763100-05:00","f97ccdd26548e9a506fc0f45fe05a023","TXT","open","released","Transcriptome Profiling","gene_expression","RNA-Seq","TARGET-WT","e0fb794c-98eb-59ce-95c1-facf32f51e32","fe4d8eac-595a-5370-a9b8-4611174f1097","TARGET-50-PAKZHF-01A-01R","aliquot"
