"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","extracellular matrix organization (GO:0030198)","70/359",5.63187605708655e-10,1.4272259807217e-06,5.25123537550687e-09,1.2962703587124e-05,-2.38080128493843,50.7048970899152,"DDR1;COL18A1;APP;COLGALT2;PTPRS;OLFML2B;SPARC;ECM2;LAMC3;ITGB4;COL14A1;ITGB3;ITGA2B;PLOD2;LAMC1;CTSV;F11R;FGF2;RXFP1;ADAMTS4;CTSL;SH3PXD2B;TNR;CYP1B1;CTSG;TPSAB1;MMP7;DST;VWF;ANXA2;MMP2;COL23A1;HSPG2;CCDC80;MMP15;COL4A1;CRISPLD2;COL4A5;ITGA7;COL6A6;COL6A5;MATN4;CD44;DDR2;ITGA9;LAMA5;COL15A1;SDC4;COL11A1;SDC2;LRP4;LTBP1;THSD4;APBB2;MYH11;GPM6B;ELANE;SNCA;LAMB2;SULF2;COL1A1;MFAP4;BMP2;COL1A2;COL5A1;WT1;ITGA11;FMOD;RECK;FBN1"
"2","extracellular structure organization (GO:0043062)","70/360",6.38579857146176e-10,1.4272259807217e-06,5.79986737678924e-09,1.2962703587124e-05,-2.38049648858849,50.3993345648571,"DDR1;COL18A1;APP;COLGALT2;PTPRS;OLFML2B;SPARC;ECM2;LAMC3;ITGB4;COL14A1;ITGB3;ITGA2B;PLOD2;LAMC1;CTSV;F11R;FGF2;RXFP1;ADAMTS4;CTSL;SH3PXD2B;TNR;CYP1B1;CTSG;TPSAB1;MMP7;DST;VWF;ANXA2;MMP2;COL23A1;HSPG2;CCDC80;MMP15;COL4A1;CRISPLD2;COL4A5;ITGA7;COL6A6;COL6A5;MATN4;CD44;DDR2;ITGA9;LAMA5;COL15A1;SDC4;COL11A1;SDC2;LRP4;LTBP1;THSD4;APBB2;MYH11;GPM6B;ELANE;SNCA;LAMB2;SULF2;COL1A1;MFAP4;BMP2;COL1A2;COL5A1;WT1;ITGA11;FMOD;RECK;FBN1"
"3","axon guidance (GO:0007411)","66/367",4.82200315119801e-08,5.38858852146378e-05,2.05348149528445e-07,0.000229476557098037,-2.40776657935867,40.5648265239132,"ROBO2;NRP1;ROBO3;NRP2;TRIO;PLXND1;ITGB3;ITGA2B;PTPRM;LAMC1;RPS6KA2;KIF5A;TNR;HOXA2;HOXA1;NRCAM;PLXNC1;EPHB2;NEO1;SCN1B;TRPC6;TRPC1;NOG;UNC5C;ANK2;ETV1;ANK3;RHOC;RUNX3;ANK1;SPTB;RHOB;CACNB2;CACNB4;COL4A1;SCN8A;COL4A5;GAS1;ISPD;ITGA9;SEMA3C;SEMA3A;EFNA5;NTN1;CACNA1H;RRAS;ABLIM3;MYH14;APBB2;MYH11;PLCG1;SRGAP1;PLXNA4;NTRK1;NGFR;FZD3;LAMB2;SEMA4F;L1CAM;TTC8;COL5A1;NFIB;KIF4A;CDK1;CNTN4;FGFR1"
"4","neuron projection guidance (GO:0097485)","66/367",4.82200315119801e-08,5.38858852146378e-05,2.05348149528445e-07,0.000229476557098037,-2.40531857606317,40.5235838096637,"ROBO2;NRP1;ROBO3;NRP2;TRIO;PLXND1;ITGB3;ITGA2B;PTPRM;LAMC1;RPS6KA2;KIF5A;TNR;HOXA2;HOXA1;NRCAM;PLXNC1;EPHB2;NEO1;SCN1B;TRPC6;TRPC1;NOG;UNC5C;ANK2;ETV1;ANK3;RHOC;RUNX3;ANK1;SPTB;RHOB;CACNB2;CACNB4;COL4A1;SCN8A;COL4A5;GAS1;ISPD;ITGA9;SEMA3C;SEMA3A;EFNA5;NTN1;CACNA1H;RRAS;ABLIM3;MYH14;APBB2;MYH11;PLCG1;SRGAP1;PLXNA4;NTRK1;NGFR;FZD3;LAMB2;SEMA4F;L1CAM;TTC8;COL5A1;NFIB;KIF4A;CDK1;CNTN4;FGFR1"
"5","oxygen transport (GO:0015671)","9/16",2.54709465565653e-06,0.00141858113398941,7.85846085316133e-05,0.0175636600068156,-2.63220352830415,33.9042481059164,"HBM;HBG1;HBE1;HBB;HBA2;HBQ1;HBD;HBA1;CYGB"
"6","gas transport (GO:0015669)","10/20",2.85620362548204e-06,0.00141858113398941,6.71801072612754e-05,0.0158050041819948,-2.56186957865728,32.7048711529227,"HBM;HBG1;HBE1;HBB;RHAG;HBA2;HBQ1;HBD;HBA1;CYGB"
"7","angiogenesis (GO:0001525)","45/236",1.2415724907706e-06,0.00110996580674892,4.77985776696934e-06,0.00427319284367059,-2.30297948503535,31.3185216511072,"LAMA5;NRP1;COL18A1;NRP2;ECM1;COL15A1;ROBO4;CXCL8;PLXND1;EPAS1;FLT4;ITGB3;TSPAN12;CTGF;ARHGAP22;ANPEP;S1PR1;HOXA3;CYP1B1;NRCAM;THSD7A;HOXA7;EPHB2;CD34;E2F7;E2F8;TBX1;EGFL7;ANXA2;MCAM;MMP2;DAB2IP;IL18;HSPG2;EREG;RHOB;EPGN;PTPRB;MEIS1;KLF5;CDH13;ACKR3;PLCD3;RAMP1;FGFR1"
"8","regulation of neuron differentiation (GO:0045664)","65/405",3.86853842898219e-06,0.00144103056479587,7.68016826934432e-06,0.00532875715043173,-2.36277704367736,29.4464250208473,"ROBO2;ACHE;NRP1;APP;ATP8A2;PTPRG;SIPA1L1;NCS1;PALM;DNMT3B;TNR;HOXA2;NRCAM;SOX8;EPHB2;SCN1B;RGS6;SOX5;TGIF1;IL15RA;CDKL5;METRN;ASPM;BIN1;IL1RAPL1;NBL1;SHANK3;NGEF;SHANK1;RTN4R;NLGN1;BHLHB9;SEMA3A;SDC2;LRP4;LPAR3;GATA2;NTN1;DLL1;SPOCK1;HES1;APOE;PLXNA4;PACSIN1;NTRK1;NGFR;SMAD1;ZFHX3;DAB2IP;PTK6;SEMA4F;PBX1;HEYL;BMP2;MEIS1;PTK7;CAPRIN2;SARM1;ZNF536;CNTN4;CAMK1;TRIM32;ITM2C;FGFR1;TP73"
"9","antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)","24/93",1.83556408989559e-06,0.00136749524697221,1.36538081955294e-05,0.00554841114854695,-2.22657336466709,29.408934397259,"DYNC2H1;CD74;HLA-DRB5;KIF23;KIF11;CTSV;KIF15;CENPE;KIF18A;HLA-DMA;HLA-DMB;CTSL;KIF4A;KIF5A;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA2;DYNC1I1;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1"
"10","antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)","24/94",2.2553628567601e-06,0.00141858113398941,1.58680341591104e-05,0.00591084272426863,-2.21425800345447,28.7902247169416,"DYNC2H1;CD74;HLA-DRB5;KIF23;KIF11;CTSV;KIF15;CENPE;KIF18A;HLA-DMA;HLA-DMB;CTSL;KIF4A;KIF5A;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA2;DYNC1I1;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1"
"11","cellular component morphogenesis (GO:0032989)","68/437",6.87788931261634e-06,0.00212239559533895,1.17656729431225e-05,0.00532875715043173,-2.39559584414681,28.4769238978019,"PRDM8;NRP1;COL18A1;APP;ATP8A2;LAMC3;ITGB3;KIF14;LAMC1;TFCP2L1;CELSR2;ANTXR1;PREX2;SPR;BASP1;NRCAM;EPHB2;SOX6;BVES;RBFOX2;DST;MSX2;HGF;NOG;SHROOM3;GP1BA;ANK3;SHROOM4;NBL1;SHANK3;SHANK1;RTN4R;LAMA5;EPB42;ARHGEF26;SEMA3A;SDC2;CABP4;PXN;LRP4;LRP6;PARD6B;EPB41L3;SLITRK5;MYH14;HES1;NPTX1;WASF1;PLXNA4;PACSIN1;NTRK1;FZD1;NTNG2;CADM1;JUP;DAB2IP;FZD8;HMGA2;BAIAP2;POU4F1;KLF2;HEYL;BMP2;DAB2;WT1;NFIB;AXL;CNTN4"
"12","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002504)","24/96",3.36883368602005e-06,0.00144103056479587,2.12963819972915e-05,0.00679963053770663,-2.23445757856003,28.1562747300777,"DYNC2H1;CD74;HLA-DRB5;KIF23;KIF11;CTSV;KIF15;CENPE;KIF18A;HLA-DMA;HLA-DMB;CTSL;KIF4A;KIF5A;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA2;DYNC1I1;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1"
"13","hemostasis (GO:0007599)","73/478",6.31394059135794e-06,0.00212239559533895,1.00142043519647e-05,0.00532875715043173,-2.35020962578895,28.1384736530169,"APP;SPARC;DAGLA;SERPINA1;ITGB3;PROS1;ITGA2B;MPL;F13A1;HBB;ATP2A1;SLC7A11;KIF11;HBD;F11R;TREM1;SLC8A1;KIF15;KIF5A;ANXA8;ENPP4;SOX6;PRKCG;PTGIR;TRPC6;PRKCH;CXADR;VWF;HGF;HBE1;PLA2G4A;KIF23;GP1BA;ATP1B2;F3;RHOB;APBB1IP;PROCR;KCNMA1;PDE5A;CD44;MGLL;DGKH;CFD;TFPI;GATA2;PRKCZ;GNAI1;GNG2;TBXA2R;PRKAR2B;CD59;PLCG1;HBG1;F12;CYP4F2;PDE2A;PPBP;GP6;L1CAM;COL1A1;CENPE;EHD2;KIF18A;EHD3;COL1A2;KIF4A;MAFF;PDE3A;F2RL1;ESAM;CD244;PF4"
"14","blood coagulation (GO:0007596)","72/472",7.59694172828259e-06,0.00212239559533895,1.19211569360889e-05,0.00532875715043173,-2.34636603685039,27.6584109673199,"APP;SPARC;DAGLA;SERPINA1;ITGB3;PROS1;ITGA2B;MPL;F13A1;HBB;ATP2A1;SLC7A11;KIF11;HBD;F11R;TREM1;SLC8A1;KIF15;KIF5A;ANXA8;ENPP4;PRKCG;PTGIR;TRPC6;PRKCH;CXADR;VWF;HGF;HBE1;PLA2G4A;KIF23;GP1BA;ATP1B2;F3;RHOB;APBB1IP;PROCR;KCNMA1;PDE5A;CD44;MGLL;DGKH;CFD;TFPI;GATA2;PRKCZ;GNAI1;GNG2;TBXA2R;PRKAR2B;CD59;PLCG1;HBG1;F12;CYP4F2;PDE2A;PPBP;GP6;L1CAM;COL1A1;CENPE;EHD2;KIF18A;EHD3;COL1A2;KIF4A;MAFF;PDE3A;F2RL1;ESAM;CD244;PF4"
"15","coagulation (GO:0050817)","72/472",7.59694172828259e-06,0.00212239559533895,1.19211569360889e-05,0.00532875715043173,-2.3437674889173,27.627779895474,"APP;SPARC;DAGLA;SERPINA1;ITGB3;PROS1;ITGA2B;MPL;F13A1;HBB;ATP2A1;SLC7A11;KIF11;HBD;F11R;TREM1;SLC8A1;KIF15;KIF5A;ANXA8;ENPP4;PRKCG;PTGIR;TRPC6;PRKCH;CXADR;VWF;HGF;HBE1;PLA2G4A;KIF23;GP1BA;ATP1B2;F3;RHOB;APBB1IP;PROCR;KCNMA1;PDE5A;CD44;MGLL;DGKH;CFD;TFPI;GATA2;PRKCZ;GNAI1;GNG2;TBXA2R;PRKAR2B;CD59;PLCG1;HBG1;F12;CYP4F2;PDE2A;PPBP;GP6;L1CAM;COL1A1;CENPE;EHD2;KIF18A;EHD3;COL1A2;KIF4A;MAFF;PDE3A;F2RL1;ESAM;CD244;PF4"
"16","extracellular matrix disassembly (GO:0022617)","27/116",3.7111420291912e-06,0.00144103056479587,2.00575643883687e-05,0.00679963053770663,-2.16156740969196,27.0286083115931,"LAMA5;COL18A1;COL15A1;COL14A1;COL11A1;LAMC1;CTSV;ADAMTS4;CTSL;SH3PXD2B;CTSG;TPSAB1;ELANE;MMP7;MMP2;COL23A1;HSPG2;COL1A1;COL1A2;COL5A1;MMP15;COL4A1;COL4A5;COL6A6;COL6A5;CD44;FBN1"
"17","positive regulation of cell development (GO:0010720)","57/358",1.89272353933193e-05,0.00423023711040687,3.36610509211514e-05,0.00940405610109667,-2.40070376553952,26.1074341389405,"ROBO2;NRP1;ATP8A2;TGFB1I1;MYLK3;HOXA11;PALM;DNMT3B;NRCAM;SOX8;EPHB2;SCN1B;RGS6;TGIF1;CDKL5;PRKCH;METRN;ASPM;BIN1;KIT;IL1RAPL1;PDE5A;PPARG;NBL1;SHANK3;SHANK1;NLGN1;BHLHB9;PLAG1;SEMA3A;LPAR3;AKAP6;NTN1;HES1;APOE;PACSIN1;S100A10;NTRK1;NGFR;SMAD1;XRCC2;DAB2IP;LIF;PTK6;COL1A1;HEYL;BMP2;DAB2;RGCC;PTK7;BAMBI;CAPRIN2;PDE3A;CAMK1;TRIM32;FGFR1;TP73"
"18","tissue morphogenesis (GO:0048729)","57/358",1.89272353933193e-05,0.00423023711040687,3.36610509211514e-05,0.00940405610109667,-2.32995169816865,25.3380118696903,"DDR1;NCKAP1;NRP1;RYR2;PLXND1;TGFB1I1;CELSR1;FGF2;AREG;HOXA11;FGF7;HHEX;SOSTDC1;SOX8;HOXA5;TP63;TGM2;NKX3-1;CCDC39;MSX2;TPM1;NOG;CYP7B1;MTSS1;MYCN;COL4A1;SFRP5;PKP2;CD44;LAMA5;LUZP1;SEMA3C;COL11A1;SEMA3A;PXN;GCNT1;NTN1;DLL1;LRP6;GPC3;XIRP2;HES1;JAG2;EGLN1;TBX1;JUP;ESR1;POU4F1;PBX1;HEYL;BMP2;KRT17;WT1;PTK7;FAT4;LGR4;FGFR1"
"19","regulation of epithelial cell proliferation (GO:0050678)","44/258",3.10278970072957e-05,0.0060302043314179,6.55478488772978e-05,0.0158050041819948,-2.41037617046349,25.0212083738856,"CDKN1C;NRP1;NRP2;ECM1;SPARC;INTU;FLT4;ITGB3;C5AR2;C5AR1;WFDC1;PTPRM;LAMC1;PRL;CTSV;FGF2;LRP6;FGF7;GPC3;APOE;HOXA5;TP63;NKX3-1;TBX1;WNT10B;EGFL7;CDKN2B;NOG;VASH2;DAB2IP;CYP7B1;F3;RUNX3;MTSS1;EREG;NR4A1;BMP2;EPGN;LRG1;RGCC;NFIB;CDH13;GAS1;BMPR1A"
"20","positive regulation of dendrite development (GO:1900006)","13/39",2.25523564770442e-05,0.0048004301643994,0.000162149840592911,0.0241603262483437,-2.29808193236955,24.5887206013882,"SMAD1;NLGN1;CDKL5;BHLHB9;DAB2IP;CAPRIN2;IL1RAPL1;PALM;CAMK1;APOE;SHANK3;PACSIN1;SHANK1"
"21","establishment of protein localization to plasma membrane (GO:0090002)","17/60",1.51657189769824e-05,0.00383424651189311,9.20653966196799e-05,0.0187060146768168,-2.19619184320655,24.3699835077887,"LAMA5;AMN;ANXA2;JUP;TESC;ANK2;ANK3;TSPAN33;ANK1;EHD3;KRT18;RAB34;PALM;TSPAN5;VAMP5;PACSIN1;S100A10"
