"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000129194.6",-2.38965068470751,0.843840408555298,-9.41471761313774,2.71986889073578e-15,4.74481127988858e-11,24.3500435505254
"ENSG00000172236.15",-5.5396980762993,3.64975998042835,-9.26325006990779,5.75163255859654e-15,5.01686149923584e-11,23.6321428021774
"ENSG00000196557.9",-4.1696542633934,-1.40585362178189,-9.00288765641479,2.08157550402068e-14,1.14642378405697e-10,22.0694788683411
"ENSG00000163106.9",-4.40015090381761,0.806601401611359,-8.91974268310088,3.13756164105783e-14,1.14642378405697e-10,21.9653566082849
"ENSG00000134569.8",-3.48300868653818,-1.0758654960855,-8.91038355124733,3.28582339941808e-14,1.14642378405697e-10,21.7296481510398
"ENSG00000170893.3",-5.46847544578186,1.88772045195093,-8.64547673527769,1.21200130392222e-13,3.52389379115385e-10,20.6647434547784
"ENSG00000182809.9",-3.24678794057281,2.0203468068814,-8.6057100716982,1.47387965418948e-13,3.67311865247649e-10,20.4680560688725
"ENSG00000007516.12",-2.67700578072291,0.776121158634032,-8.48291464227141,2.69489485355847e-13,5.87655509004094e-10,19.8845531598675
"ENSG00000144668.10",-3.38818252445272,2.73521593508835,-8.37492572553792,4.57778858224044e-13,7.17184077069066e-10,19.3457962034618
"ENSG00000260182.1",-5.86694258762279,-2.88025195524797,-8.37478147021137,4.58102729005724e-13,7.17184077069066e-10,18.7029426798771
"ENSG00000137449.14",2.34788625892655,3.85502016408853,8.36250197921126,4.86525680311173e-13,7.17184077069066e-10,19.2775313665471
"ENSG00000197253.12",-4.85601654038057,2.73475361692988,-8.35966689955156,4.9333384493143e-13,7.17184077069066e-10,19.2807940065728
"ENSG00000271447.4",-4.19920563446771,-0.661391158348605,-8.31023470798572,6.28529288305419e-13,8.27428580965137e-10,18.9668170874644
"ENSG00000167664.7",-3.42456597428794,1.01164069638163,-8.29901507446597,6.64029815621204e-13,8.27428580965137e-10,19.0096248569558
"ENSG00000095917.12",-4.8204145755645,1.24586826429372,-8.14933244389168,1.38067925098304e-12,1.50537184583744e-09,18.2983001707548
"ENSG00000132975.7",-5.80250020065865,-2.68562129869382,-8.11380406858137,1.64218620661207e-12,1.68517284554985e-09,17.5971207897153
"ENSG00000198576.3",-3.81107637881569,0.0432182892866357,-8.01856241122436,2.61275544849711e-12,2.53219548883512e-09,17.6632631244231
"ENSG00000179954.13",-2.52189145317044,0.730513691157469,-7.98188226533,3.12365949504114e-12,2.86801262584172e-09,17.5061291252017
"ENSG00000164929.15",-3.8411094187188,2.9866677467894,-7.93916287003871,3.84522355836682e-12,3.35399624878546e-09,17.2577650860157
"ENSG00000147488.10",-5.4143245500005,0.179717987924604,-7.86368708856291,5.54849003198141e-12,4.60920993371027e-09,16.9290172867392
"ENSG00000065054.12",-2.97588586808777,2.0694379740058,-7.82843784770375,6.58345398853033e-12,5.22037976499598e-09,16.753957245531
"ENSG00000175287.17",-1.91320090400087,-0.053844525049085,-7.77713998316433,8.44183978955312e-12,6.40295196211975e-09,16.5364674720124
"ENSG00000263961.5",-3.42696713763276,2.40175737469056,-7.70470403052045,1.19860887056283e-11,8.71238822790358e-09,16.16020953321
"ENSG00000002586.16",-1.96676928273374,7.6321041782586,-7.68145406620257,1.34116167863872e-11,9.358626193541e-09,15.9664502380932
"ENSG00000135318.10",-3.76123929313547,0.558331884885338,-7.63192797539513,1.70348355628257e-11,1.14297194766729e-08,15.8633471357625
"ENSG00000236939.2",-4.09146977450583,-3.46203747425714,-7.59772719521956,2.00897215051678e-11,1.29801922836167e-08,15.1494039930793
"ENSG00000156298.11",-3.74137650995718,-0.168164972801083,-7.50152108153817,3.19230535083336e-11,1.98892024447457e-08,15.24786824636
"ENSG00000162078.10",-2.5691648125878,0.727431730425108,-7.49318081417641,3.32287171100217e-11,1.99887920684251e-08,15.2128475929969
